steps: 10000
rand_range: (-0.05, 0.05)


Expression || Steps without change || Distance to next change || Distance since start || Norm || Is Unique || Coordinates
(sqrt(sqrt(sqrt(X))))^5 || 1 || 0.38700196146965027 || 12.818546295166016 || 13.334192276000977 || False || None
(sin(sqrt(sqrt(X))))^5 || 0 || 0.2474157065153122 || 12.830252647399902 || 13.35861873626709 || False || None
(sqrt(sqrt(sqrt(X))))^5 || 1 || 0.4394770562648773 || 12.843772888183594 || 13.399744033813477 || False || None
(sqrt(sqrt(X)))^5 || 0 || 0.2614906430244446 || 12.931905746459961 || 13.540032386779785 || False || None
(sqrt(sqrt(sqrt(X))))^5 || 5 || 0.6997668147087097 || 12.947162628173828 || 13.505121231079102 || False || None
(sin(sqrt(sqrt(X))))^5 || 10 || 0.9653708934783936 || 12.766929626464844 || 13.313407897949219 || False || None
(sin(sqrt(X)))^5 || 2 || 0.5047004818916321 || 12.870574951171875 || 13.503372192382812 || False || None
(sqrt(sqrt(X)))^5 || 0 || 0.20032061636447906 || 12.823773384094238 || 13.474552154541016 || False || None
(sin(log(X)))^5 || 0 || 0.324941486120224 || 12.825154304504395 || 13.504364013671875 || True || None
(sin(sqrt(X)))^5 || 0 || 0.27314257621765137 || 12.818941116333008 || 13.485857009887695 || False || None
(sin(log(X)))^5 || 15 || 1.3203377723693848 || 12.802061080932617 || 13.487265586853027 || False || None
(sqrt(log(X)))^5 || 18 || 1.1558822393417358 || 12.955072402954102 || 13.8320894241333 || True || None
(sin(log(X)))^5 || 1 || 0.3600614666938782 || 12.713996887207031 || 13.59272575378418 || False || None
(sqrt(log(X)))^5 || 0 || 0.26076650619506836 || 12.746893882751465 || 13.646085739135742 || False || None
(sin(log(X)))^5 || 22 || 1.3648937940597534 || 12.752203941345215 || 13.652656555175781 || False || None
(sin(log(log(X))))^5 || 0 || 0.23974590003490448 || 13.04015827178955 || 13.59656047821045 || True || None
(sin(log(X)))^5 || 8 || 0.8432703614234924 || 13.055971145629883 || 13.603924751281738 || False || None
(sin(log(log(X))))^5 || 0 || 0.3112950921058655 || 13.25382137298584 || 13.840404510498047 || False || None
(sin(log(X)))^5 || 3 || 0.48878055810928345 || 13.206107139587402 || 13.821186065673828 || False || None
(sin(log(log(X))))^5 || 3 || 0.5547125935554504 || 13.444981575012207 || 14.045892715454102 || False || None
(sin(log(X)))^5 || 0 || 0.28054970502853394 || 13.448869705200195 || 14.024735450744629 || False || None
(sin(log(log(X))))^5 || 31 || 1.1746078729629517 || 13.479992866516113 || 14.065524101257324 || False || None
(sin(log(X)))^5 || 3 || 0.6011983752250671 || 13.527006149291992 || 13.99960994720459 || False || None
(sin(log(X/X)))^5 || 1 || 0.31623271107673645 || 13.627435684204102 || 14.094677925109863 || True || None
(sin(log(log(X))))^5 || 0 || 0.26180300116539 || 13.61533260345459 || 14.09567928314209 || False || None
(sin(log(X/X)))^5 || 1 || 0.34066280722618103 || 13.663458824157715 || 14.139266967773438 || False || None
(sin(log(log(X))))^5 || 1 || 0.3840956389904022 || 13.641694068908691 || 14.163649559020996 || False || None
(sqrt(log(log(X))))^5 || 1 || 0.35610508918762207 || 13.680696487426758 || 14.258081436157227 || True || None
(sin(log(log(X))))^5 || 0 || 0.23960895836353302 || 13.648574829101562 || 14.28150463104248 || False || None
(sqrt(log(log(X))))^5 || 0 || 0.2414364367723465 || 13.603302001953125 || 14.24984359741211 || False || None
(sqrt(log(X/X)))^5 || 1 || 0.4530079662799835 || 13.642288208007812 || 14.27979564666748 || True || None
